id,section,question,option1,option2,option3,option4,correct
"1","Inyección Electrónica","El código de falla P0302 indica una falla en el cilindro 2. ¿A qué tipo pertenece este código?","Genérico","Específico del fabricante","De red","De comunicación","Genérico"
"2","Inyección Electrónica","En los DTC OBD-II, ¿qué identifica el primer carácter (letra)?","El sistema del vehículo (P, B, C o U)","El tipo de error","La severidad de la falla","El fabricante","El sistema del vehículo (P, B, C o U)"
"3","Inyección Electrónica","¿Dónde se conecta el escáner de diagnóstico OBD-II?","En el módulo PCM","En el conector del alternador","En el conector de diagnóstico (DLC)","En el sensor de oxígeno","En el conector de diagnóstico (DLC)"
"4","Inyección Electrónica","¿Qué sistema utiliza un hilo caliente como entrada principal para medir masa de aire?","Jetronic K","Jetronic L","Jetronic LH","D-Jetronic","Jetronic LH"
"5","Inyección Electrónica","¿Qué sensor ajusta la mezcla aire-combustible según la carga del motor?","MAF","MAP","TPS","ECT","MAP"
"6","Inyección Electrónica","Un vehículo no arranca. DTC almacenado: P0342. ¿Cuál es la causa más probable?","Sensor CKP defectuoso","Sensor CMP defectuoso","Falta de combustible","Bujías en corto","Sensor CMP defectuoso"
"7","Inyección Electrónica","¿Qué relación aire-combustible corresponde a mezcla rica?","13:1","15:1","17:1","19:1","13:1"
"8","Inyección Electrónica","El código P0301 indica falla de encendido en el cilindro 1. ¿Qué significa el dígito 0 en el código?","Falla genérica","Falla específica del fabricante","Falla de comunicación","Falla intermitente","Falla genérica"
"9","Inyección Electrónica","¿Qué sensor detecta la velocidad de giro del cigüeñal?","CMP","CKP","TPS","ECT","CKP"
"10","Inyección Electrónica","Un motor presenta humo negro y mezcla rica. ¿Cuál podría ser la causa?","Sensor MAP defectuoso","Presión de combustible alta","Filtro de aire limpio","Sensor TPS desconectado","Presión de combustible alta"
"11","Inyección Electrónica","¿Qué tipo de sensor mide la temperatura del refrigerante?","MAP","TPS","ECT","MAF","ECT"
"12","Inyección Electrónica","¿Cuál de las siguientes afirmaciones es cierta sobre un fallo común en el sistema de inyección MPI?","La válvula de control de presión está obstruida.","La sonda lambda está funcionando correctamente.","La computadora del motor no está conectada.","El filtro de combustible está limpio.","La válvula de control de presión está obstruida."
