id,section,question,option1,option2,option3,option4,correct
1,INYECCIÓN ELECTRÓNICA (NIVEL BÁSICO),El código de falla P0302 indica una falla en el cilindro.¿A qué tipo pertenece este código?,Genérico,Específico del fabricante,De red,De comunicación,Genérico
2,INYECCIÓN ELECTRÓNICA (NIVEL BÁSICO),En los DTC OBD-II, ¿qué identifica el primer carácter (letra)?,El sistema del vehículo (P, B, C o U),El tipo de error,La severidad de la falla,El fabricante,El sistema del vehículo (P, B, C o U)
3,INYECCIÓN ELECTRÓNICA (NIVEL BÁSICO),¿Dónde se conecta el escáner de diagnóstico OBD-II?,En el módulo PCM,En el conector del alternador,En el conector de diagnóstico (DLC),En el sensor de oxígeno,En el conector de diagnóstico (DLC)
4,INYECCIÓN ELECTRÓNICA (NIVEL BÁSICO),¿Qué sistema utiliza un hilo caliente como entrada principal para medir masa de aire?,Jetronic K,Jetronic L,Jetronic LH,D-Jetronic,Jetronic LH
5,INYECCIÓN ELECTRÓNICA (NIVEL BÁSICO),¿Qué sensor ajusta la mezcla aire-combustible según la carga del motor?,MAF,MAP,TPS,ECT,MAP
6,INYECCIÓN ELECTRÓNICA (NIVEL BÁSICO),Un vehículo no arranca. DTC almacenado: P0342.¿Cuál es la causa más probable?,Sensor CKP defectuoso,Sensor CMP defectuoso,Falta de combustible,Bujías en corto,Sensor CMP defectuoso
7,INYECCIÓN ELECTRÓNICA (NIVEL BÁSICO),¿Qué relación aire-combustible corresponde a mezcla rica?,13:1,15:1,17:1,19:1,13:1
8,INYECCIÓN ELECTRÓNICA (NIVEL BÁSICO),El código P0301 indica falla de encendido en el cilindro 1. ¿Qué significa el dígito 0 en el código?,Falla genérica,Falla específica del fabricante,Falla de comunicación,Falla genérica
9,INYECCIÓN ELECTRÓNICA (NIVEL BÁSICO),¿Qué sensor detecta la velocidad de giro del cigüeñal?,CMP,CKP,TPS,ECT,CKP
10,INYECCIÓN ELECTRÓNICA (NIVEL BÁSICO),Un motor presenta humo negro y mezcla rica. ¿Cuál podría ser la causa?,Sensor MAP defectuoso,Presión de combustible alta,Filtro de aire limpio,Sensor TPS desconectado,Presión de combustible alta
11,INYECCIÓN ELECTRÓNICA (NIVEL BÁSICO),¿Qué tipo de sensor mide la temperatura del refrigerante?,MAP,TPS,ECT,MAF,ECT
12,FUNDAMENTOS DEL MOTOR (NIVEL BÁSICO),¿Con qué índice se relaciona el retardo de ignición del combustible diésel?,Octano,Reid,Cetano,Volatilidad,Cetano
13,FUNDAMENTOS DEL MOTOR (NIVEL BÁSICO),¿Qué presión maneja un sistema de bomba-inyector de primera generación?,300–800 bar,800–1200 bar,1500–1800 bar,2000–2500 bar,300–800 bar
14,FUNDAMENTOS DEL MOTOR (NIVEL BÁSICO),¿Qué componente permite adelantar el comienzo de la inyección en una bomba rotativa?,Válvula reguladora,Avance centrífugo,Válvula de descarga,Corrector de humo,Avance centrífugo
15,FUNDAMENTOS DEL MOTOR (NIVEL BÁSICO),¿Qué elemento no pertenece a una bomba rotativa?,Cabezal hidráulico,Eje de mando,Pistón distribuidor,Variador de vacío,Variador de vacío
16,FUNDAMENTOS DEL MOTOR (NIVEL BÁSICO),¿Qué porcentaje de la mezcla se encuentra en la antecámara de un motor diésel de inyección indirecta tipo swirl?,10 %,30 %,50 %,70 %,70 %
17,FUNDAMENTOS DEL MOTOR (NIVEL BÁSICO),¿Qué sistemas post-combustión transforman los óxidos de nitrógeno (NOx)?,Catalizador de tres vías,EGR,DPF,SCR,SCR
18,FUNDAMENTOS DEL MOTOR (NIVEL BÁSICO),¿Qué sistemas anticontaminantes post-combustión se emplean en los motores diésel modernos?,"EGR, catalizador de tres vías","DPF, SCR, catalizador oxidante","VVT, EVAP, EGR","Filtro de aire, EGR","DPF, SCR, catalizador oxidante"
19,FUNDAMENTOS DEL MOTOR (NIVEL BÁSICO),¿Qué ciclo mantiene constante la presión media efectiva (PME) en motores diésel ideales?,Otto,Atkinson,Diésel,Miller,Diésel
20,FUNDAMENTOS DEL MOTOR (NIVEL BÁSICO),¿Qué ángulo promedio de inyección presenta un motor diésel de inyección indirecta?,30°,45°,15°,60°,30°
